content,score,label,clean
"kalo buat iklan jangan maksa kntl, saya strees banget lagi nonton anime tiba tiba muncul iklan shoope selalu maksa",1,negatif,kalo buat iklan jangan maksa kntl strees banget nonton anime tiba tiba muncul iklan shoope selalu maksa
iklan ny mengganggu,1,negatif,iklan ny mengganggu
"iklan ny gk ngotak, iklan judol aja gk separah ini",1,negatif,iklan ny gk ngotak iklan judol aja gk separah
"Baik pelayanannya,, respon cepat",5,positif,baik pelayanannya respon cepat
IKLAN NYA LOH KURANGIN,1,negatif,iklan nya loh kurangin
iklan,1,negatif,iklan
bnyk iklan mana maksa,1,negatif,bnyk iklan mana maksa
"iklannya banyak muncul, tanda x nya kecil kali pun kampung. dikit dikit iklan ""promo shopee besar besaran"" apapulak ini ah . mengganggu saja",1,negatif,iklannya banyak muncul tanda x nya kecil kali kampung dikit dikit iklan promo shopee besar besaran apapulak ah  mengganggu
iklan nya maksa,1,negatif,iklan nya maksa
sell Singapore,1,negatif,sell singapore
Untuk permasalahan ajukan dana sangat tidak adil. Saya pesan barang dengan pengiriman Instant estimasi waktu sampai pada hari yg sama dijam 1 siang. Saya tunggu sampai hari ini barang belum sampai dan tidak bergerak. Pengajuan dana pertama saya ditolak oleh shopee alasannya sedang dalam pengiriman dan menunggu waktu estimasi pengiriman sedangkan estimasi diaplikasi saja sudah lewat. Tolong dibenahi kembali.,1,negatif,permasalahan ajukan dana sangat adil pesan barang pengiriman instant estimasi waktu pada hari yg sama dijam  siang tunggu hari barang sampai tidak bergerak pengajuan dana pertama ditolak shopee alasannya sedang pengiriman menunggu waktu estimasi pengiriman estimasi diaplikasi sudah lewat dibenahi
"ongkirnya mahal bgt,sering kena tipu",1,negatif,ongkirnya mahal bgtsering kena tipu
"iklan yang selalu muncul ketika membuka aplikasi lain, langsung diarahkan ke shopee, tombol X juga ga guna, intinya iklan yang sangat sangat MENGGANGGU!!!",1,negatif,iklan selalu muncul membuka aplikasi langsung diarahkan shopee tombol x ga intinya iklan sangat sangat mengganggu
suka dengan aplikasi ini krna bsa membantu saya menemukan apa yg saya butuhkan,5,positif,suka aplikasi krna bsa membantu menemukan apa yg butuhkan
iklan lu nyusahin orang sial,1,negatif,iklan lu nyusahin orang sial
belanja online buat kebutuhan saya,5,positif,belanja online buat kebutuhan
iklan lu anj bangat,1,negatif,iklan lu anj bangat
"Kalo masang iklan yg bener dong, dikit dikit nongol iklan Shopee, lagi buka canva nongol Shopee, ini namanya pemaksaan, tolong kalo iklan tu jangan buka ke apk Shopee, mencet skip padhal malah kebuka shopee",1,negatif,kalo masang iklan yg bener dong dikit dikit nongol iklan shopee buka canva nongol shopee namanya pemaksaan kalo iklan tu jangan buka apk shopee mencet skip padhal malah kebuka shopee
banyak iklan maksa bgt,1,negatif,banyak iklan maksa bgt
Tolong kalo buat iklan tu jangan yang maksa banget banyak orang yang udah kena akibatnya gra gara iklan Shopee ini,1,negatif,kalo buat iklan tu jangan maksa banget banyak orang udah kena akibatnya gra gara iklan shopee
"kasihan tolol yang tugas nya hilang idiot banget anj, aku kasih bintang 5 supaya paling atas dasar aplikasi anj hama",5,positif,kasihan tolol tugas nya hilang idiot banget anj aku kasih bintang  paling atas dasar aplikasi anj hama
yang pake pasti fomo nih mah apk bikin lemot,1,negatif,pake fomo nih mah apk bikin lemot
iklan lu ganggu bgt sumpah,1,negatif,iklan lu ganggu bgt sumpah
sell,1,negatif,sell
pas pke voucher kok kena M04? pdhl bru buka shopee..,2,negatif,pas pke voucher kok kena m pdhl bru buka shopee
"mohon iklan jgn terlalu banyak, sangat menggangu dan juga terkadang saat muncul iklan shopee selalu otomatis ke aplikasi pdahal tidak di sentuh. biasa juga ada tanda 'x' palsu yang jika di tekan otomatis ke aplikasi shopee.",1,negatif,mohon iklan jgn terlalu banyak sangat menggangu terkadang muncul iklan shopee selalu otomatis aplikasi pdahal sentuh biasa juga ada tanda x palsu jika di tekan otomatis aplikasi shopee
"tolong iklannya jangan banyak banyak. setiap saya main game yang online pasti ada iklan anda dan saya milih tanda silang yang sangat KECILLLLL tiba² masuk ke apk anda. apa lagi di tiktok, ig, yt, dan masih banyak lagi. dan udah banyak yang ngalamin ini apa lagi ini sering. (hanya ingin mengingatkan)",3,netral,iklannya jangan banyak banyak main game online ada iklan saya milih tanda silang sangat kecilllll tiba masuk apk apa di tiktok ig yt dan masih banyak dan udah banyak ngalamin apa ini sering ingin mengingatkan
SELLSINGAPORE,1,negatif,sellsingapore
dmn2 iklan,1,negatif,dmn iklan
sangat tidak bagus paket selalu delay padahal jaringan lancar,1,negatif,sangat bagus paket selalu delay padahal jaringan lancar
"aplikasi sampah gw di SMP,di suruh buat tugas membuat game di crome tapi malah ad iklan dari shope jadi ngulang lagi padahal hari untuk di nilai udh besok, aplikasi sampah",1,negatif,aplikasi sampah gw smpdi suruh buat tugas membuat game crome malah ad iklan shope jadi ngulang padahal hari di nilai udh besok aplikasi sampah
Bagus sekali ini aplikasi,1,negatif,bagus sekali aplikasi
yaaAllah iklan shopee tuh ngeganggu bngt,1,negatif,yaaallah iklan shopee tuh ngeganggu bngt
"eh shoppe tau diri Lo anj, iklan Lo ada di mana mana mengganggu tau gaa",1,negatif,eh shoppe tau diri lo anj iklan lo di mana mana mengganggu tau gaa
ganggu bgt iklan nya,1,negatif,ganggu bgt iklan nya
mohon maaf entah kenapa saat mau liat pesanan tidak bisa dipencet??,1,negatif,mohon maaf entah saat mau liat pesanan bisa dipencet
sell singapure anjjj,1,negatif,sell singapure anjjj
"belanja barang sesuai dgn pesanan, memuaskan, Terima kasih,. kurirnya juga amanah.",5,positif,belanja barang sesuai dgn pesanan memuaskan terima kasih kurirnya amanah
saya benci iklannya tolong di permudahkan Untuk menekan tombol X nya banyak orang di rugikan akibat hanya tombol X Yg sulit untuk di tekan,1,negatif,benci iklannya permudahkan menekan tombol x nya banyak orang di rugikan akibat tombol x yg sulit di tekan
SELL SGP 👎,1,negatif,sell sgp 
"semuanya kasih rating 1 aja nih aplikasi,ganggu banget iklannya mana susah dipencet lagi,kasih iklan ngotak dikit napa gak usah ngespam sama tombol x nya digedein",1,negatif,semuanya kasih rating  aja nih aplikasiganggu banget iklannya mana susah dipencet lagikasih iklan ngotak dikit napa gak usah ngespam sama tombol x nya digedein
Mudah dan aman,5,positif,mudah aman
jossss,5,positif,jossss
"jangan maksanya shope, Gue lagi ngerjain tugas sekolah Ampe berjam-jam di aplikasi. jadi hilang gara-gara iklan lu.",1,negatif,jangan maksanya shope gue ngerjain tugas sekolah ampe berjamjam aplikasi jadi hilang garagara iklan lu
puas banget belanja di sopee,5,positif,puas banget belanja sopee
"terlalu banyak iklan yang menyusahkan dalam hal tampilan, penggunaan sistem pop up yang menjengkelkan dan kemunculan iklan yang terlalu banyak",1,negatif,terlalu banyak iklan menyusahkan hal tampilan penggunaan sistem pop up menjengkelkan kemunculan iklan terlalu banyak
sell singapore,1,negatif,sell singapore
anjeng tugas design gw kereset gara² kepencet iklan shopee babiii,1,negatif,anjeng tugas design gw kereset gara kepencet iklan shopee babiii
woy shopee kalo pasang iklan yang ngotak lah anjir di mana ² ada,1,negatif,woy shopee kalo pasang iklan ngotak lah anjir mana 
tolong di kurangi iklan shope nya! bikin kesel ajaa dikit dikit iklan lu dimna mana iklan shopee mulu sialan,1,negatif,di kurangi iklan shope nya bikin kesel ajaa dikit dikit iklan lu dimna mana iklan shopee mulu sialan
"aplikasi bagus, tapi iklan ganggu! dimana mana ganggu, iklan ganggu, main game diganggu, download file dinganggu, bikin tugas diganggu.",1,negatif,aplikasi bagus iklan ganggu mana ganggu iklan ganggu main game diganggu download file dinganggu bikin tugas diganggu
apk jelek,1,negatif,apk jelek
butut ah,1,negatif,butut ah
jelek bagusan Tokopedia,1,negatif,jelek bagusan tokopedia
kebanyakan iklan malas download,1,negatif,kebanyakan iklan malas download
aplikasi tempek,1,negatif,aplikasi tempek
iklan nya ngeselin banget anjeng maksa banget,1,negatif,iklan nya ngeselin banget anjeng maksa banget
"iklan maksa banget,cuih",1,negatif,iklan maksa bangetcuih
kalo ngasih iklan tuh ga usah maksa,1,negatif,kalo ngasih iklan tuh ga usah maksa
Online shop terbaik Se Indonesia,1,negatif,online shop terbaik se indonesia
"kurangi iklan di web ganggu ajigg jangan jadi scam mana maksa masuk lagi, cukup pasang di apk resmi lah jangan jadi sampah web, mau download MP3 aja maksa masuk apk kalian.",1,negatif,kurangi iklan web ganggu ajigg jangan jadi scam mana maksa masuk cukup pasang apk resmi lah jangan jadi sampah web mau download mp aja maksa masuk apk kalian
bagus. layanan cepat. barang utuh,5,positif,bagus layanan cepat barang utuh
karna singapur,1,negatif,karna singapur
"pengiriman lama, udah itu aja",1,negatif,pengiriman lama udah aja
sangat burukkkk sayah baru donlot pas sayah pencet gak bisa masukkkk burukkkk sekali,1,negatif,sangat burukkkk sayah baru donlot pas sayah pencet gak masukkkk burukkkk sekali
iklannya hama muncul terus samaaja kaya maksa penjual buat beli dagangan nya iklan nya nyepam banyak tombol keluar yang palsu,1,negatif,iklannya hama muncul terus samaaja kaya maksa penjual buat beli dagangan nya iklan nya nyepam banyak tombol keluar palsu
"aplikasi dah mulai bagus, sekarang gantian pengiriman SPX nya yang lelet parah",1,negatif,aplikasi dah mulai bagus sekarang gantian pengiriman spx nya lelet parah
aplikasi banyak iklan,1,negatif,aplikasi banyak iklan
lebih keren tiktok shop🥰,1,negatif,lebih keren tiktok shop
iklan maksa,1,negatif,iklan maksa
produk eek,1,negatif,produk eek
SELL SINGAPORE,1,negatif,sell singapore
bad,1,negatif,bad
sell singapura,1,negatif,sell singapura
kenapa langsung ada iklan,1,negatif,langsung iklan
g guna,1,negatif,g
"simpel aja banyak penipuan, banyak barang yg tidak sesuai.",1,negatif,simpel aja banyak penipuan banyak barang yg sesuai
nggak ada rames,1,negatif,ada rames
sangat memuaskan,5,positif,sangat memuaskan
mantap 👍🏻👍🏻,5,positif,mantap 
"bagus, tapi iklan lu nyusahin + maksa banget ajg, jadinya gw uninstall dan beri rating 1",1,negatif,bagus iklan lu nyusahin  maksa banget ajg jadinya gw uninstall beri rating 
sell singapore,1,negatif,sell singapore
saya mengunakan apk shope sudah cukup lama mksh shope karena berkat apk ini buat cari barang keperluan sangatlah mudah pokok nya topmarkotoplah apk,5,positif,mengunakan apk shope cukup lama mksh shope berkat apk buat cari barang keperluan sangatlah mudah pokok nya topmarkotoplah apk
hei pihak shopee kalau ngasih iklan ke aplikasi lain tu yang ngotak dikit lah. masak tombol x nya sekecil harapan ibu guru dan bapak guru. kalau gitu hilang ngin iklan mu di hp saya karena saya gk butuh iklan mu.,1,negatif,hei pihak shopee kalau ngasih iklan aplikasi tu ngotak dikit lah masak tombol x nya sekecil harapan ibu guru bapak guru kalau gitu hilang ngin iklan mu hp karena gk butuh iklan mu
banyak bonus nya,5,positif,banyak bonus nya
padahal saya tidak menggunakan aplikasi nya tapi iklan Nya tetap mencul,1,negatif,padahal tidak menggunakan aplikasi nya iklan nya tetap mencul
"iklannya ngeselin, belum dipencet skip/tanda X udah masuk ke apk nya. dendam banget sama iklan shoppe. Tidak menarik sama sekali.",1,negatif,iklannya ngeselin dipencet skiptanda x udah masuk apk nya dendam banget sama iklan shoppe menarik sama sekali
"buruk dan mengecewakan, mohon di filter affiliate nya lagi biar tidak ada korban, cukup saya saja. di filter lagi barang dan jasa yang dilarang,malahan affiliator nya yang di kasih pelanggaran tapi tokonya aman aman saja. . . gak adil😏",1,negatif,buruk mengecewakan mohon filter affiliate nya biar ada korban cukup filter barang jasa dilarangmalahan affiliator nya di kasih pelanggaran tokonya aman aman saja   gak adil
iklan sering muncul sangat menggangu,1,negatif,iklan sering muncul sangat menggangu
Semua dalam 1 Aplikasi.....,5,positif,semua  aplikasi
sangant berguna,5,positif,sangant berguna
dukung produk lokal,1,negatif,dukung produk lokal
gajelas,1,negatif,gajelas
"Cukup Puas Untuk Aplikasi Shoope ini,, Cuman Pengiriman nya yang Sedikit Lambat.",5,positif,cukup puas aplikasi shoope cuman pengiriman nya sedikit lambat
iklan sampah,1,negatif,iklan sampah
iklan sering muncul saat saya tidak menggunakan aplikasi nya,1,negatif,iklan sering muncul saya menggunakan aplikasi nya
iklan lu lebay bgt,1,negatif,iklan lu lebay bgt
"bagus yaa sangat bagus apknya, tapi tolong iklannya jangan di persulit saya sering membuka website komik tapi setiap iklan shopee tombol lewati/tombol ""x"" nya pas di tekan malah pergi ke apk shopeenya ini sangat mengganggu setidaknya buatlah iklan yang betul betul mempromosikan bukan memaksakan",2,negatif,bagus yaa sangat bagus apknya tolong iklannya jangan persulit sering membuka website komik setiap iklan shopee tombol lewatitombol x nya pas tekan malah pergi apk shopeenya sangat mengganggu buatlah iklan betul betul mempromosikan bukan memaksakan
iklanya terlalu maksa padahal saya udah lewatin iklan malah di paksa masuk,1,negatif,iklanya terlalu maksa padahal udah lewatin iklan malah paksa masuk
iklannya menyebal kan,1,negatif,iklannya menyebal kan
iklan nya ga ngotak!!!,1,negatif,iklan nya ga ngotak
iklan berlebihan,1,negatif,iklan berlebihan
sangat membantu,5,positif,sangat membantu
iklan nya sangat menggangu bahkan muncul saat saya baru main HP,1,negatif,iklan nya sangat menggangu bahkan muncul saya baru main hp
sy tidak bisa COD lg karena dianggap menolak barang padahal kurirnya yang tidak mau mengantarkan smpai alamat tujuan. mohon ditinjau ulang,4,positif,sy bisa cod lg dianggap menolak barang padahal kurirnya tidak mau mengantarkan smpai alamat tujuan mohon ditinjau ulang
"aplikasi pler udah kayak virus anying di mana-mana gak di game,tiktok,Ig, Facebook, sampe chrome di web aja banyak udah melebihi iklan judol",1,negatif,aplikasi pler udah kayak virus anying manamana gak gametiktokig facebook sampe chrome web aja banyak udah melebihi iklan judol
"kalo buat iklan profesional dikit lah anjeng, masa iya lagi ngerjain tugas malah ad iklan shope trs mau mencet lewati malah masuk ke iklan, orang udah cape cape ngerjain tugas malah di ganggu KONTOLL...",1,negatif,kalo buat iklan profesional dikit lah anjeng masa iya ngerjain tugas malah ad iklan shope trs mau mencet lewati malah masuk iklan orang udah cape cape ngerjain tugas malah ganggu kontoll
sell singapore,1,negatif,sell singapore
apalikasinya membantu banget berguna disaat waktu mepet 🎃,5,positif,apalikasinya membantu banget berguna disaat waktu mepet 
"iklan kalian ada di mana,bikin susah",1,negatif,iklan kalian di manabikin susah
"Shopee banke"" iklan lu muncul dimana mana ajg lagi ngerjain tugas malah muncul iklan lu, kurang kurangi iklannya banke.",1,negatif,shopee banke iklan lu muncul mana ajg ngerjain tugas malah muncul iklan lu kurang kurangi iklannya banke
banyak iklan,1,negatif,banyak iklan
bagus mantap,5,positif,bagus mantap
"iklan lu noh terlalu banyak di aplikasi lain! ganggu banget, udh gua pencet silang malah masuk ke app ini, maksa bgt anj! ga rekomen👎",1,negatif,iklan lu noh terlalu banyak aplikasi ganggu banget udh gua pencet silang malah masuk app maksa bgt anj ga rekomen
untung ada shopee,5,positif,untung shopee
#sell singapore,1,negatif,sell singapore
sell singapore,1,negatif,sell singapore
gk bisa ambil saldo shopeepay di bagi2 hadiah katanya gara2 melanggar s&k what???!!! katanya ada aktifitas gk wajar?!! what? b!ch aktifitas gk wajar apa coba sebutin,1,negatif,gk ambil saldo shopeepay bagi hadiah katanya gara melanggar sk what katanya aktifitas gk wajar what bch aktifitas gk wajar apa coba sebutin
"apk busuk, order selalu dibatalkan terus menerus. dengan alasan aktivitas mencurigakan. yang mencurigakan itu siapa. order ya normal seperti biasa pakai voucher ya normal seperti biasa. selalu dibatalkan pihak shopee. gajelas. bukan yang pertama kali tp sudah berkali kali",1,negatif,apk busuk order selalu dibatalkan terus menerus alasan aktivitas mencurigakan mencurigakan siapa order normal biasa pakai voucher normal biasa selalu dibatalkan pihak shopee gajelas bukan pertama kali tp berkali kali
mbud,1,negatif,mbud
bagus,5,positif,bagus
"banyak iklan dimana mana, iklan nya maksa datang telat kalau ada kesalahan gak mau tanggung jawab",1,negatif,banyak iklan mana iklan nya maksa datang telat kalau kesalahan gak mau tanggung jawab
"tolong bikin iklan shopee nya yg niat, masa setiap kali mau mencet tombol lewati malah masuk ke shopee, kan bikin orang risih yak",1,negatif,bikin iklan shopee nya yg niat masa kali mau mencet tombol lewati malah masuk shopee kan bikin orang risih yak
iklan aplikasi ini sangat memaksa dan menggangu.,1,negatif,iklan aplikasi sangat memaksa menggangu
contolll,5,positif,contolll
gapapa mau bantu aja,1,negatif,gapapa mau bantu aja
aplikasinya bagus,5,positif,aplikasinya bagus
"notifnya kagak enak bet dah, padahal notif iklan judol aja kagak maksa kek aplikasimu",1,negatif,notifnya kagak enak bet dah padahal notif iklan judol aja kagak maksa kek aplikasimu
sell Singapura buy Indonesian negara kecil sok sok an nyerang Indonesian cihhh,1,negatif,sell singapura buy indonesian negara kecil sok sok an nyerang indonesian cihhh
Kalian tidak perlu tahu pengalaman yang saya alami karena apa yang baik dariku kamu tak perlu tahu itu dan apa yang buruk dariku engkau membenci itu Terima kasih,1,negatif,kalian perlu tahu pengalaman saya alami apa baik dariku kamu tak perlu tahu dan apa buruk dariku engkau membenci terima kasih
shoope gajelas terlalu banyak iklan ribet tau ga,1,negatif,shoope gajelas terlalu banyak iklan ribet tau ga
"suka lemot, mau login ke akun lama lupa password di suruh masukin password, gajelas",1,negatif,suka lemot mau login akun lama lupa password suruh masukin password gajelas
lumayan lha sering dpt gratis ongkir. tapi ya kadang akun nya tiba² suka keluar sendiri itu knpa ya,3,netral,lumayan lha sering dpt gratis ongkir kadang akun nya tiba suka keluar sendiri knpa ya
gak banget kebanyakan iklan,1,negatif,gak banget kebanyakan iklan
sell Singapura,1,negatif,sell singapura
lemot,1,negatif,lemot
wah anj ni Shopee gw pesen paket 2 minggu padahal tokped 1 minggu padahal sama tempat dan barang anj lah banyak iklan juga barang scam,1,negatif,wah anj ni shopee gw pesen paket  minggu padahal tokped  minggu padahal sama tempat barang anj lah banyak iklan barang scam
Ekspedisi SPX kalah cepat sama ekspedisi lain🤮,1,negatif,ekspedisi spx kalah cepat sama ekspedisi
"Sellsingapura ""Negara Parasit""",1,negatif,sellsingapura negara parasit
apk busuk perampokan wajib bintang 1,1,negatif,apk busuk perampokan wajib bintang 
iklan shopee terbabi,1,negatif,iklan shopee terbabi
gak sat set,1,negatif,gak sat set
SELLSINGAPURE❗,5,positif,sellsingapure
"jelek, saya pesan baju sudah sampai di tempat saya tapi udh 4 hari tidak di antar kurir, pdhl bajunya mau di pakai acara",1,negatif,jelek pesan baju sampai tempat tapi udh  hari antar kurir pdhl bajunya mau di pakai acara
buy Indonesia sell Singapore 🤡,1,negatif,buy indonesia sell singapore 
tolong lah iklannya ganggu bangett,1,negatif,lah iklannya ganggu bangett
pln movie sangat membantu dalam proses perubahan daya,5,positif,pln movie sangat membantu proses perubahan daya
"iklanmu mengganggu banget, tekan x malah masuk ke aplikasi, tolong jangan lebay kl iklan",1,negatif,iklanmu mengganggu banget tekan x malah masuk aplikasi jangan lebay kl iklan
"Apk egois Jing di mana mana pasti ada iklannya ni aplikasi, kek nya pengen bgt dah ni developer nya semua org download ni aplikasi, klo buat iklan yg ngotak dikit dong😹",1,negatif,apk egois jing mana mana ada iklannya ni aplikasi kek nya pengen bgt dah ni developer nya semua org download ni aplikasi klo buat iklan yg ngotak dikit dong
sangat puas,5,positif,sangat puas
aplikasi jelek banyak penipuan,1,negatif,aplikasi jelek banyak penipuan
gw mau lihat bkp bukan mau belanja ajng,1,negatif,gw mau lihat bkp bukan mau belanja ajng
tolong Spinjam nya GK bisa2 gmna sih GK di bantu,5,positif,spinjam nya gk gmna sih gk bantu
"shopee anj klk bikin iklan yang ngotak lah kntl gw udh pencet tanda x dengan presisj yang tepat masih ae masuk shopee anj ngeselin bet kntl², klo bkin iklan dipikir mas kasian orang yang lagi ngerjain tugas terus ilang gara² iklan shopee mikir kirik kids",1,negatif,shopee anj klk bikin iklan ngotak lah kntl gw udh pencet tanda x presisj tepat ae masuk shopee anj ngeselin bet kntl klo bkin iklan dipikir mas kasian orang lagi ngerjain tugas terus ilang gara iklan shopee mikir kirik kids
bagus,5,positif,bagus
ga jual ikan paus,1,negatif,ga jual ikan paus
buruk sekali,1,negatif,buruk sekali
Sandgate membranous mrncari batangas yang kita inginkan,5,positif,sandgate membranous mrncari batangas kita inginkan
"kurangi iklan berlebih di platform lain, jangan berlebihan mempromosikan barang yg tdk senonoh dan singkat aja iklan berlebih",1,negatif,kurangi iklan berlebih platform jangan berlebihan mempromosikan barang yg tdk senonoh singkat aja iklan berlebih
aplikasi bagus ya. tanggung jawab. pengembalian barang juga respon. bisa roder. aplikasi rekomen ni. pert a han kan. aplikasi paporit,5,positif,aplikasi bagus tanggung jawab pengembalian barang respon roder aplikasi rekomen ni pert a han kan aplikasi paporit
apk babi belanja di batalin terus,1,negatif,apk babi belanja batalin terus
iklan ganggu,1,negatif,iklan ganggu
bakayaro,1,negatif,bakayaro
notgood,1,negatif,notgood
barang di shopee sesuai dengan pesanan tdk mengecewakan.,5,positif,barang shopee sesuai pesanan tdk mengecewakan
"keren amanah juga app nya, tetap hati2 yah!",5,positif,keren amanah app nya tetap hati yah
aplikasi lag banget.,1,negatif,aplikasi lag banget
"jelek, banyak scam😂",1,negatif,jelek banyak scam
pas saya main uni craft selalu pindah kesini terus,1,negatif,pas main uni craft selalu pindah kesini terus
bikin iklan jan maksa napa sekali kepencet ngulang dari awal,1,negatif,bikin iklan jan maksa napa sekali kepencet ngulang awal
kurangin iklan lu,1,negatif,kurangin iklan lu
Tolong di perdikit iklan nya ya.... rese banget ya tuhan,1,negatif,di perdikit iklan nya rese banget tuhan
selalu top shope,5,positif,selalu top shope
lu kalo iklan tu Jan lama lama bgst gw lagi main game malah ke playstore ajg mana x nya kecil,1,negatif,lu kalo iklan tu jan lama lama bgst gw main game malah playstore ajg mana x nya kecil
teror banget jadi iklan. bruhh.,1,negatif,teror banget jadi iklan bruhh
"apl busuk dalang turunnya rupiah indonesia, antek'amerika stop donglode shopee. #sel Singapore #buy Indonesia",1,negatif,apl busuk dalang turunnya rupiah indonesia antekamerika stop donglode shopee sel singapore buy indonesia
semoga pelayanan nya lebih baik ke depan nya,5,positif,semoga pelayanan nya lebih baik depan nya
CELL SINGAPORE,1,negatif,cell singapore
bikin lag dan iklannya nyebelin,1,negatif,bikin lag iklannya nyebelin
"ongkir mahal, lama, kek t a i #sellsingapore",1,negatif,ongkir mahal lama kek t a i sellsingapore
Babi shopee,1,negatif,babi shopee
"iklan terlalu mengganggu, dan terjadi banyak penipuan yg terjadi di aplikasi ini, saya order baju yang datang celana dalam, jgn didownload",1,negatif,iklan terlalu mengganggu terjadi banyak penipuan yg terjadi aplikasi saya order baju datang celana jgn didownload
kurang kurangi iklan setiap pencet x selalu maksa masuk shoppe nya,1,negatif,kurang kurangi iklan pencet x selalu maksa masuk shoppe nya
iklannya di kondisikan,1,negatif,iklannya kondisikan
iklan nya maksa banget tolong lah jangan gt iklan nya,1,negatif,iklan nya maksa banget lah jangan gt iklan nya
Sungkan,1,negatif,sungkan
"JELEK POL, NGELEG, ONGKIR MAHAL, LAMA BANGET DATENGNYA, APK KAYAK GINI KOK ADA YA",1,negatif,jelek pol ngeleg ongkir mahal lama banget datengnya apk kayak gini kok ya
oke,5,positif,oke
dri singapur,1,negatif,dri singapur
"the application is not suitable for shopping, because when buying items, what always arrives is not in accordance with the original. like being ripped off by the application.",1,negatif,the application is not suitable for shopping because when buying items what always arrives is not in accordance with the original like being ripped off by the application
easy,5,positif,easy
"gabut jir pengen rating 1🤭🤭 mending TOKOPEDIA iklan jarang , tombol x ga kecil lagi😹",1,negatif,gabut jir pengen rating  mending tokopedia iklan jarang  tombol x ga kecil
apk jelek iklan rame,1,negatif,apk jelek iklan rame
iklan ada dmn mana anj ganggu bngt,1,negatif,iklan dmn mana anj ganggu bngt
tanggung jawab dong gara gara kamu iklan sampah saya mengerjakan poster sekolah selama 1 jam capek saya 15 kali mengerjakan mati Matian dapat nol gara gara kamu gak punya otak kalau kamu mau iklan gak usah di hp saya GAK USAH DI HP PAHAM GAK!!,1,negatif,tanggung jawab dong gara gara kamu iklan sampah mengerjakan poster sekolah selama  jam capek  kali mengerjakan mati matian nol gara gara kamu gak punya otak kalau kamu mau iklan gak usah hp gak usah hp paham gak
